epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,173.309,1.04097,4.5702,1.41581,0.00827,0.0803,0.05999,0.04329,0.73565,4.35518,0.97601,0.000155615,0.000155615,0.000155615
2,343.055,0.91076,3.57645,1.34384,0.98059,0.05909,0.07741,0.05922,0.88037,3.06729,1.18411,0.000283168,0.000283168,0.000283168
3,512.639,0.80787,2.9903,1.27805,0.72935,0.22208,0.29045,0.20601,0.82337,2.76526,1.11563,0.000379305,0.000379305,0.000379305
4,687.771,0.82852,2.87641,1.22876,0.81095,0.24589,0.34468,0.25748,0.82941,2.8807,1.10007,0.000334628,0.000334628,0.000334628
5,857.767,0.76933,2.59388,1.23433,0.63335,0.30974,0.35361,0.25474,0.77485,2.3596,1.0908,0.000287504,0.000287504,0.000287504
6,1026.17,0.76312,2.43978,1.17809,0.43791,0.40783,0.37835,0.26221,0.77056,2.20405,1.06688,0.00024038,0.00024038,0.00024038
7,1195.56,0.74082,2.25175,1.21033,0.24525,0.54135,0.40993,0.29222,0.74102,2.05998,1.03564,0.000193256,0.000193256,0.000193256
8,1368.47,0.68635,2.09819,1.15457,0.40733,0.59227,0.45547,0.32126,0.74581,2.07641,1.05156,0.000146132,0.000146132,0.000146132
9,1535.9,0.69122,2.07266,1.14296,0.56295,0.53162,0.47675,0.35009,0.73503,2.14527,0.996,9.9008e-05,9.9008e-05,9.9008e-05
10,1720.9,0.67485,2.10018,1.16146,0.56932,0.54742,0.48331,0.35714,0.70783,2.01606,0.97786,5.1884e-05,5.1884e-05,5.1884e-05
