epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.63603,0,30.196,0,0,0,0,0,0,24.664,0,0,0,0
2,8.24442,0,30.1539,0,0,0,0,0,0,24.6783,0,1.9604e-05,1.9604e-05,1.9604e-05
3,12.0932,0,29.9726,0,0,0,0,0,0,24.6931,0,3.8416e-05,3.8416e-05,3.8416e-05
4,15.7401,0,29.8485,0,0,0,0,0,0,24.7054,0,5.6436e-05,5.6436e-05,5.6436e-05
5,19.8008,0,29.7026,0,0,0,0,0,0,24.7054,0,7.3664e-05,7.3664e-05,7.3664e-05
6,23.7496,0,29.7552,0,0,0,0,0,0,24.7259,0,9.01e-05,9.01e-05,9.01e-05
7,27.5204,0,29.4853,0,0,0,0,0,0,24.7259,0,0.000105744,0.000105744,0.000105744
8,31.5611,0,29.5014,0,0,0,0,0,0,24.7395,0,0.000120596,0.000120596,0.000120596
9,35.208,0,29.2764,0,0,0,0,0,0,24.7395,0,0.000134656,0.000134656,0.000134656
10,39.1707,0,29.2599,0,0,0,0,0,0,24.7501,0,0.000147924,0.000147924,0.000147924
11,43.0325,0,29.0874,0,0,0,0,0,0,24.7501,0,0.0001604,0.0001604,0.0001604
12,46.9083,0,29.1287,0,0,0,0,0,0,24.7501,0,0.000172084,0.000172084,0.000172084
13,50.6772,0,29.0524,0,0,0,0,0,0,24.7598,0,0.000182976,0.000182976,0.000182976
14,54.7748,0,28.8868,0,0,0,0,0,0,24.7598,0,0.000193076,0.000193076,0.000193076
15,58.4857,0,28.8196,0,0,0,0,0,0,24.7598,0,0.000202384,0.000202384,0.000202384
16,62.4384,0,28.8325,0,0,0,0,0,0,24.773,0,0.0002109,0.0002109,0.0002109
17,66.1713,0,28.6323,0,0,0,0,0,0,24.773,0,0.000218624,0.000218624,0.000218624
18,70.5415,0,28.6489,0,0,0,0,0,0,24.773,0,0.000225556,0.000225556,0.000225556
19,74.7022,0,28.6081,0,0,0,0,0,0,24.773,0,0.000231696,0.000231696,0.000231696
20,78.7361,0,28.6125,0,0,0,0,0,0,24.7868,0,0.000237044,0.000237044,0.000237044
21,83.0702,0,28.3111,0,0,0,0,0,0,24.7868,0,0.0002416,0.0002416,0.0002416
22,87.027,0,28.3141,0,0,0,0,0,0,24.7868,0,0.000245364,0.000245364,0.000245364
23,90.8798,0,28.3591,0,0,0,0,0,0,24.7868,0,0.000248336,0.000248336,0.000248336
24,95.0594,0,28.292,0,0,0,0,0,0,24.8158,0,0.000250516,0.000250516,0.000250516
25,98.9702,0,28.0559,0,0,0,0,0,0,24.8158,0,0.000251904,0.000251904,0.000251904
26,102.901,0,27.9993,0,0,0,0,0,0,24.8158,0,0.0002525,0.0002525,0.0002525
27,107.046,0,28.0006,0,0,0,0,0,0,24.8158,0,0.000252304,0.000252304,0.000252304
28,111.192,0,27.9647,0,0,0,0,0,0,24.8158,0,0.000251316,0.000251316,0.000251316
29,115.271,0,28.085,0,0,0,0,0,0,24.8394,0,0.000249536,0.000249536,0.000249536
30,119.353,0,27.8657,0,0,0,0,0,0,24.8394,0,0.000246964,0.000246964,0.000246964
31,123.446,0,27.6517,0,0,0,0,0,0,24.8394,0,0.0002436,0.0002436,0.0002436
32,127.482,0,27.7087,0,0,0,0,0,0,24.8394,0,0.000239444,0.000239444,0.000239444
33,131.577,0,27.6737,0,0,0,0,0,0,24.8394,0,0.000234496,0.000234496,0.000234496
34,135.892,0,27.7677,0,0,0,0,0,0,24.8394,0,0.000228756,0.000228756,0.000228756
35,140.129,0,27.7915,0,0,0,0,0,0,24.8361,0,0.000222224,0.000222224,0.000222224
36,144.066,0,27.4831,0,0,0,0,0,0,24.8361,0,0.0002149,0.0002149,0.0002149
37,147.897,0,27.4446,0,0,0,0,0,0,24.8361,0,0.000206784,0.000206784,0.000206784
38,152.076,0,27.3911,0,0,0,0,0,0,24.8361,0,0.000197876,0.000197876,0.000197876
39,156.095,0,27.5789,0,0,0,0,0,0,24.8361,0,0.000188176,0.000188176,0.000188176
40,160.201,0,27.4289,0,0,0,0,0,0,24.8361,0,0.000177684,0.000177684,0.000177684
41,164.105,0,27.3007,0,0,0,0,0,0,24.8361,0,0.0001664,0.0001664,0.0001664
42,168.285,0,27.2368,0,0,0,0,0,0,24.7829,0,0.000154324,0.000154324,0.000154324
43,172.394,0,27.1234,0,0,0,0,0,0,24.7829,0,0.000141456,0.000141456,0.000141456
44,176.178,0,27.1079,0,0,0,0,0,0,24.7829,0,0.000127796,0.000127796,0.000127796
45,180.241,0,27.0729,0,0,0,0,0,0,24.7829,0,0.000113344,0.000113344,0.000113344
46,184.33,0,27.2148,0,0,0,0,0,0,24.7829,0,9.81e-05,9.81e-05,9.81e-05
47,188.367,0,27.0762,0,0,0,0,0,0,24.7829,0,8.2064e-05,8.2064e-05,8.2064e-05
48,192.304,0,27.1162,0,0,0,0,0,0,24.7829,0,6.5236e-05,6.5236e-05,6.5236e-05
49,196.03,0,27.0532,0,0,0,0,0,0,24.7829,0,4.7616e-05,4.7616e-05,4.7616e-05
50,200.227,0,27.1234,0,0,0,0,0,0,24.6911,0,2.9204e-05,2.9204e-05,2.9204e-05
